,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,account_id
78,GRANDMASTER,855KLB66YwLXzp0uZ-ApKrZfh0mpN7DKXDXMOiOBicwCUxw,otogi shi,378,242,203,False,False,False,False,JAAPWhOfYjHsk_kwvBJdGX1u0tfZvNaVgUxgBB2Ww9y2nAmNDOz9s5_s
79,GRANDMASTER,Hfs4gjd0kDKBoP56tk8zV_KHBMGZy19UWCjjddjnIrG4pbs,UECA2,451,314,276,False,False,True,False,N0DhnhSHZeQMb3qeBaUjv3geWp-coiYudL7J-77aRpU4eRx1vU1VJxId
80,GRANDMASTER,ikK1NNyRKxp3BoovCjZaFMpE-onwdx0NAhHaoQpF8cGgno8,생각하는 서포터,338,537,535,False,False,False,False,d9fHxsBQ9xx5RqfsE4uLvswaplETyrrkSoTNvHRkrItIFjuTL9EIAn_F
81,GRANDMASTER,AbJ0hH1w68liouGurFPaMnrfbkNNEjuBvRMmOcPLHWjMxF0,xinqinghao,463,426,411,False,False,False,True,g03EXkuQh8YGAss0SCEEUnx8z3BvswbMBbNQqdaC2RaDWbEUUhji3bcS
82,GRANDMASTER,0EPGvuX4YTB2eYavedsapE0n7oboL5Xm2TT-teU4WJiLPpA,FAKERPHULOC,361,251,234,False,False,False,False,0Rhz0U9AzxHEDn6FLbWY0u7i8DuLxuehN01TWqcQGqDh_7dfbOOmT-Xw
83,GRANDMASTER,-vCit-xvKXljYg_zYSlmY4e2pag1p_FEanpMfMZiT-oJBrk,술래잡기,569,341,302,False,False,True,False,9--nJQryWlHYUPBx78QLDd-kb6zFmpsEb0uhmlh4cUGYJto
84,GRANDMASTER,EiotqyoYMmPy0Ha5KEBRYfrx_OEobFlfzjwQHGTdCAlBg2E,chougouyitiao,224,336,308,False,False,True,False,RpX9lO4ScLTdLVStAD46EhiyJYoaxiCFxOrqObD-niyz7h0zWE6KeEWt
85,GRANDMASTER,LiqkFL679YRVU_oVTx-RvBKzJA5ks-otIqFZyn-kN4_84ho,level,475,108,105,False,False,False,False,ZRqbl-XEHhrWrouN0gTS65QfuDD6Od9nAl7YhJ-Zu945O4I
86,GRANDMASTER,BP6kJFtQ-jhy06AgspPH_QWP_q4PzLrofRHiT264Wr0-Uw,카카오배그,314,453,410,False,False,True,False,FXX4tyC3RcE2k6ph0ZbWii9x6xaRVa8PqcZpBbvtX3Z6
87,GRANDMASTER,l7fJp8v0Q5vGNxK2-yf6ucPT6G4P37CsoikPgJqvM11zIF4,나는웃방천,399,226,182,True,False,False,False,2hTbIBc3RKjEuSpp62ylqMQzrxbybIRiRQmg8c1uMDpAHiM
88,GRANDMASTER,pY3AAiRD5JeYq1Re3pEoPbBEKHMfzUrH3ZArcH2gTQ6Ayak,여름싫어모기싫어,484,400,369,False,False,False,False,GRIUM_HXfzcvWByYQxnFylBJTnlQSmEIRSQtoIX5GxOhAhM
89,GRANDMASTER,FuzkcuwidW97ChixfDXiUP-DAuupZ_96HGX006rpGVcVyY8,Sile,312,383,358,False,False,False,False,HY18jXV3_NVYNxEk6jT_StNyzFn63nwu-ZX1B61CsvbylAA
90,GRANDMASTER,iqUdlOfC6Rg23zw6mHSO1MSFoqSv7djz1UVUqX3nKh-i3pY,EM Envy,345,220,195,False,False,True,False,HBkirQIaC5mvg-bP6JS7UgNOoz0GQVZIqxmevDbFSZw2cs9wia0KEwS4
91,GRANDMASTER,kqPhTqRWshzmC9pbweVBvp9pPJ1EzhsOgeCiIDIkfku1Bg,나는탐캔치,469,309,309,True,False,False,False,moasOhDvyO_CaiPoSwrHcfN-vYBDe_aabcwWP0EKAQVG
92,GRANDMASTER,V4ekFJEXKt5U0v3wjxClt5PX5qfglF1EIyoi8pyIcXLOpA,호잇호잇이,501,279,224,True,False,False,False,39Tq09JgZqEwb7s94wFthEydNEfECORVMhrHBBvOfVqD
93,GRANDMASTER,bXRLbRuaCa5gBB-30VP-AHq5K0jN9u0_hHVLIF_y6cfiCDA,DRX Keria,688,380,357,False,False,True,False,oMcRArS17bEdqjInBVG858zotMsSMXgmB5CeVnj52zwwdPM
94,GRANDMASTER,QgzHgZEtd2iLERCV3lodz974qdASLXVLnrI1dZXvoWJ4XQU,오렌지 바람,608,192,169,True,False,False,False,1ByQPtpPIIYIy6JGYB0y2C8-pskSb2vCG_6RQQ2Xn-BS8-Q
95,GRANDMASTER,auBCfIe51uWmo3oIe86Neby9bIGX6DlDbgR5dlH5oTd5LC8,내가미안핑찍지마,455,207,189,True,False,False,False,ERqGpECjH6IigoSiBBSmhT3ufBwrE02KrP445LRlIDvSEJI
96,GRANDMASTER,Ohv48YH8D_sYc5LJoicO4iV0iFL-xazl26l6FZwnxAGuZTw,기찮게굴지마,526,150,96,False,False,True,True,ZnJnC2S1ZBbk_ZAUFRV780YKGi4B_mutWjoa-U-_wGxWcjVTG8qLN6cI
97,GRANDMASTER,m9cwIhaJUJmhO_su0Pq0CZChzNTa6QzdPNoFPymueXp8Yw,엉덩국 갱승제로,477,208,223,True,False,False,False,nH_lKLONeBmoPKp9BDNQcslX1VCjwFojCH22orgeImKi
98,GRANDMASTER,XwNT8Sik5I44i-Z_Ca3dP-t7-BA2ulsSjkYYiXb4D00ViW8,벼러지,293,335,265,False,False,False,False,XMbn-MV-H0OOTSaYCYzzFCd2QZrWJ5x1S-JFEsrhtMgkI0pqw1_uIWcc
99,GRANDMASTER,6JMOeO8TObqJzXJJLbfmU9M3NfzIK0lNrUE2Hkd4SRGapfE,TheGreatestMagic,399,232,202,False,False,False,False,vnNBJxQDw5cyJWC_iYhNikxs0O87H4TLnnV68ptR44c4zKo
100,GRANDMASTER,s5AeJUMPZnjPIlJnRLQnkqunyuH2-YitUiLxoPSM4moKvMk,Seafood탑,360,359,328,False,False,True,False,yNpLJUWGgbDiRATPnIXZDN_fI2dNfICSMj3q8AuDHQalMSv9p6aBWIX7
101,GRANDMASTER,wkpnCjA1HRepLy6B5-YQCbvscMWdc5bREvPQoMyRjj5X2w,오늘전역한 백수,303,172,147,False,False,True,True,mEb7H-f7j3oFFxASi6ATQ_5okvz2s4EEM8OzKZSrg45b
102,GRANDMASTER,60LveEMUJWfm_pEw_KfQZ2qii7zGq8lbgUaW4Xr3O9D34O8,도구탓안하는장인,316,388,362,False,False,True,False,g52X_UxFHPi6a6riJGsryuSNGxNr5I9rL07IhssOh2ir7oM
103,GRANDMASTER,2wB5Kb8zTt5OZ7tcKrNDvgR9d--2aBvD7DioWmeklLk-deE,huya xiaoyao,392,242,161,True,False,False,False,DvxwzCanv0W1_mU2wsAL9DhXHyEdD6aPMO_xTWvI9jBewZlKuLpLgHAl
104,GRANDMASTER,AO9GJp05AAOF7mERUElSGiFfUT99YPX9xVIiJdeFj6MOc5I,chachachach,369,370,281,False,False,True,False,7ttyNcax3xXCFMCRjogyNmwpnB-fCzoAgeEvr02Is9BSzjNvzC6PNmjI
105,GRANDMASTER,KPTgTQlBsbis-Z3_VYQn8XsDfGp3Qs0PQ24l3fY4QLaMKds,미나모토 씨,275,216,196,False,False,True,False,Mxmv90uSWBvWUILxmPzrks0bgpNx8NCfZda656n2pd1O-ybcKHi1V3U0
106,GRANDMASTER,bhkckeWfahMCa0bEZkfCZ2vYlOLK8mwuzidIqObxukE7U9k,어사놀이,606,181,140,False,False,False,False,KmiUYTR-E9BMnsHiB7kyydSW5MddZ6MGHjmXG-V6bXoPgIE2Pqt_puui
107,GRANDMASTER,orMOgLd4Di3gr8uG495J8DkhhUguTKAKRBeGXOs-Lvn0bjw,Last xuan s,426,675,572,False,False,True,False,lnXu4XM4-_FcEiMo0jfpc-qwz-il0MeKJbHDhUJ1g_aWt6RPvnrwblNx
108,GRANDMASTER,D_iD3Crg2Hv_rs7M7qLWFS4nuzesEbO_AyF3IPv9omZp7vw,도넛이맛어요,515,397,374,False,False,False,False,C5WVs0DbXKmESJUJTYTJ420vQfOn-osgr8nvAR1rLh4VulKK4-SeLJPZ
109,GRANDMASTER,60W_9nbGH611BNI8FkaGsQiENpoc7DG2YOueXD1XPdzayE8,자몽요정 채워닝,464,100,71,False,False,False,False,
110,GRANDMASTER,6WjKvWulW9q5QnQhz6GmljmNXXKNuY89FenZMdHyL55ikKA,42151262516,467,193,157,False,False,True,False,JBdL9dM53k2aUeVgqn_m7jnnBa5lXKbCPz4_lZWyjnE9eF8
